total_reads	distinct_reads
0	0
1000000	997981
2000000	1.99475e+06
3000000	2.9909e+06
4000000	3.98661e+06
5000000	4.98192e+06
6000000	5.9769e+06
7000000	6.97157e+06
8000000	7.96595e+06
9000000	8.96007e+06
10000000	9.95394e+06
11000000	1.09476e+07
12000000	1.1941e+07
13000000	1.29341e+07
14000000	1.39271e+07
15000000	1.49199e+07
16000000	1.59124e+07
17000000	1.69048e+07
18000000	1.7897e+07
19000000	1.8889e+07
20000000	1.98808e+07
21000000	2.08724e+07
22000000	2.18639e+07
23000000	2.28552e+07
24000000	2.38463e+07
25000000	2.48373e+07
26000000	2.5828e+07
27000000	2.68187e+07
