## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=idling_subsample_50p_dedup.pdf INPUT=idling_subsample_50p_dedup.bam OUTPUT=idling_subsample_50p_dedup_ISM.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 10:06:53 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
229	52	135	2	242917615	285.62121	212.043135	48695998	FR	49	103	163	221	271	313	353	451	735	965	1401			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	239
3	314
4	379
5	184
6	157
7	230
8	242
9	2287
10	270
11	231
12	142
13	185
14	348
15	330
16	226
17	229
18	217
19	5119
20	3282
21	2102
22	1309
23	1157
24	1257
25	1401
26	3270
27	4360
28	4983
29	5700
30	5262
31	5388
32	5309
33	7078
34	10457
35	18451
36	31927
37	44307
38	53023
39	69593
40	99560
41	119829
42	126368
43	117027
44	118555
45	125919
46	125759
47	125375
48	125844
49	137979
50	167363
51	208819
52	252538
53	240105
54	200006
55	180657
56	174948
57	170532
58	162928
59	162769
60	170814
61	188703
62	211188
63	221693
64	222293
65	206946
66	194617
67	183076
68	168898
69	165801
70	161527
71	175059
72	189336
73	197943
74	203421
75	200960
76	193847
77	185287
78	170470
79	164069
80	158544
81	164036
82	171171
83	178999
84	184795
85	186836
86	180333
87	175328
88	163414
89	157273
90	150977
91	150288
92	152780
93	158608
94	162349
95	167482
96	164442
97	159530
98	153302
99	147241
100	143134
101	137894
102	137413
103	140172
104	142726
105	145898
106	145773
107	144348
108	140358
109	134310
110	130048
111	125562
112	124256
113	123814
114	125616
115	128297
116	128744
117	129334
118	126710
119	123597
120	119472
121	114545
122	112219
123	110660
124	112379
125	113818
126	114341
127	114775
128	113591
129	112750
130	110433
131	107587
132	104962
133	101888
134	102147
135	102690
136	103655
137	105128
138	105790
139	105613
140	105247
141	106466
142	102846
143	98108
144	95035
145	93703
146	93601
147	94355
148	97116
149	99742
150	106132
151	113011
152	107278
153	96680
154	91011
155	89039
156	89111
157	89192
158	89917
159	92998
160	93097
161	91905
162	90305
163	90200
164	91107
165	92795
166	94282
167	95928
168	97232
169	96618
170	92900
171	91670
172	90869
173	92892
174	97936
175	103234
176	105045
177	102411
178	99442
179	97515
180	95165
181	93899
182	94124
183	94194
184	95974
185	98391
186	99678
187	99230
188	98928
189	98417
190	96344
191	95593
192	96642
193	99092
194	101102
195	102732
196	103908
197	102516
198	101915
199	100662
200	100682
201	101242
202	103791
203	107135
204	109319
205	110000
206	110387
207	108764
208	106323
209	104151
210	103366
211	104771
212	107043
213	110654
214	112605
215	114159
216	112558
217	111223
218	108472
219	106361
220	104106
221	103968
222	104999
223	107659
224	110608
225	110388
226	110501
227	108835
228	106763
229	104805
230	101890
231	100879
232	100109
233	101262
234	102928
235	102931
236	103172
237	102590
238	101518
239	98720
240	96682
241	94991
242	94574
243	93599
244	93574
245	94211
246	94684
247	94514
248	93321
249	92400
250	90695
251	89136
252	86945
253	86753
254	86524
255	86073
256	86140
257	85500
258	85341
259	84842
260	83561
261	82468
262	81176
263	80225
264	79780
265	78449
266	79022
267	78889
268	78463
269	77973
270	76747
271	75482
272	75456
273	74384
274	73623
275	72967
276	72658
277	72331
278	72221
279	72434
280	71500
281	71264
282	70273
283	69833
284	68787
285	68218
286	67910
287	67405
288	67577
289	67268
290	67474
291	67384
292	65956
293	65870
294	65219
295	65166
296	64288
297	63600
298	64311
299	65125
300	64458
301	64181
302	64478
303	63929
304	63236
305	61513
306	61317
307	61127
308	61500
309	61821
310	62291
311	62429
312	61780
313	61483
314	60390
315	60156
316	59470
317	59493
318	59388
319	59942
320	59754
321	59986
322	60566
323	59581
324	59607
325	59134
326	58547
327	58530
328	58637
329	58231
330	58997
331	58973
332	59208
333	58610
334	59265
335	58609
336	58153
337	57995
338	58168
339	58389
340	57896
341	58590
342	58669
343	58389
344	58833
345	58640
346	58345
347	58021
348	58544
349	58979
350	58322
351	58396
352	58471
353	58583
354	58887
355	58189
356	58652
357	58971
358	58837
359	59188
360	58880
361	58966
362	59256
363	59047
364	59245
365	58775
366	59377
367	58911
368	59147
369	59340
370	59217
371	59326
372	59314
373	60057
374	59789
375	59322
376	59144
377	59613
378	59330
379	59728
380	59656
381	59742
382	60172
383	59840
384	60149
385	59414
386	59499
387	59687
388	59625
389	60222
390	59602
391	60352
392	59812
393	59916
394	59708
395	59205
396	59355
397	59636
398	58995
399	59367
400	59089
401	59010
402	59277
403	59050
404	59036
405	58335
406	58542
407	58366
408	57833
409	57868
410	57454
411	57526
412	57011
413	57459
414	56889
415	56714
416	56231
417	55947
418	55786
419	56290
420	55451
421	54931
422	54745
423	54932
424	53662
425	53833
426	53219
427	53191
428	53114
429	53058
430	52239
431	51895
432	51923
433	51705
434	51281
435	51164
436	50726
437	50019
438	50259
439	50038
440	49173
441	48947
442	48382
443	48547
444	48445
445	47622
446	47113
447	46772
448	46521
449	46167
450	46207
451	45550
452	45732
453	45499
454	44762
455	44845
456	44490
457	43971
458	44031
459	43771
460	43252
461	42717
462	42508
463	42250
464	41786
465	41655
466	41790
467	41317
468	41342
469	41036
470	40569
471	40143
472	40213
473	39798
474	39925
475	39616
476	39467
477	39045
478	38453
479	38457
480	38141
481	37889
482	37760
483	37736
484	37464
485	37618
486	37331
487	37261
488	37097
489	36626
490	36446
491	36634
492	36146
493	35885
494	35837
495	36022
496	35600
497	35871
498	35212
499	35069
500	34801
501	34807
502	34764
503	34693
504	34820
505	34496
506	34459
507	34394
508	34270
509	34128
510	33573
511	33771
512	33857
513	33515
514	33416
515	33233
516	33186
517	33059
518	33206
519	32908
520	32824
521	32700
522	32928
523	32815
524	32488
525	32726
526	32460
527	32546
528	32293
529	32281
530	32271
531	32283
532	32300
533	32304
534	31972
535	32135
536	32123
537	31908
538	32184
539	31998
540	31708
541	31808
542	31806
543	31928
544	31842
545	31647
546	31500
547	31258
548	31503
549	31044
550	30822
551	31295
552	31094
553	31438
554	31231
555	31255
556	31195
557	31145
558	31505
559	31097
560	31225
561	30873
562	30942
563	30913
564	30734
565	30730
566	30773
567	30639
568	30941
569	30766
570	30742
571	30487
572	30590
573	30492
574	30558
575	30369
576	30367
577	30595
578	30566
579	30347
580	30297
581	30200
582	30001
583	29918
584	30012
585	29601
586	30100
587	29664
588	29480
589	29891
590	29641
591	29322
592	28873
593	29044
594	29363
595	28797
596	28711
597	28853
598	28744
599	28718
600	28249
601	28692
602	28052
603	27966
604	28294
605	27859
606	28105
607	27485
608	27552
609	27446
610	27234
611	26947
