total_reads	distinct_reads
0	0
1000000	962238
2000000	1.85667e+06
3000000	2.69083e+06
4000000	3.47083e+06
5000000	4.20193e+06
6000000	4.88871e+06
7000000	5.53528e+06
8000000	6.14526e+06
9000000	6.72184e+06
10000000	7.26792e+06
11000000	7.78606e+06
12000000	8.27852e+06
13000000	8.74738e+06
14000000	9.19452e+06
15000000	9.62158e+06
16000000	1.00301e+07
17000000	1.04214e+07
18000000	1.07968e+07
19000000	1.11573e+07
20000000	1.1504e+07
21000000	1.18378e+07
22000000	1.21597e+07
23000000	1.24702e+07
24000000	1.27702e+07
25000000	1.30604e+07
26000000	1.33412e+07
27000000	1.36133e+07
28000000	1.38772e+07
29000000	1.41332e+07
30000000	1.4382e+07
31000000	1.46237e+07
32000000	1.4859e+07
33000000	1.50879e+07
34000000	1.5311e+07
35000000	1.55284e+07
36000000	1.57404e+07
37000000	1.59474e+07
38000000	1.61495e+07
39000000	1.63469e+07
40000000	1.65399e+07
41000000	1.67287e+07
42000000	1.69134e+07
43000000	1.70942e+07
44000000	1.72713e+07
45000000	1.74448e+07
46000000	1.76149e+07
47000000	1.77816e+07
48000000	1.79452e+07
49000000	1.81057e+07
50000000	1.82633e+07
51000000	1.8418e+07
52000000	1.85699e+07
53000000	1.87193e+07
54000000	1.8866e+07
55000000	1.90103e+07
56000000	1.91522e+07
57000000	1.92918e+07
58000000	1.94291e+07
59000000	1.95643e+07
60000000	1.96973e+07
61000000	1.98283e+07
62000000	1.99574e+07
63000000	2.00845e+07
64000000	2.02097e+07
65000000	2.03331e+07
66000000	2.04548e+07
67000000	2.05747e+07
68000000	2.0693e+07
69000000	2.08097e+07
70000000	2.09247e+07
71000000	2.10382e+07
72000000	2.11503e+07
73000000	2.12608e+07
74000000	2.13699e+07
75000000	2.14777e+07
76000000	2.1584e+07
77000000	2.16891e+07
78000000	2.17929e+07
79000000	2.18953e+07
80000000	2.19966e+07
81000000	2.20967e+07
82000000	2.21955e+07
83000000	2.22932e+07
84000000	2.23898e+07
85000000	2.24853e+07
86000000	2.25797e+07
87000000	2.26731e+07
88000000	2.27654e+07
89000000	2.28567e+07
90000000	2.2947e+07
91000000	2.30364e+07
92000000	2.31248e+07
93000000	2.32123e+07
94000000	2.32988e+07
95000000	2.33845e+07
96000000	2.34693e+07
97000000	2.35532e+07
98000000	2.36363e+07
99000000	2.37185e+07
100000000	2.37999e+07
101000000	2.38806e+07
102000000	2.39604e+07
103000000	2.40395e+07
104000000	2.41179e+07
105000000	2.41955e+07
106000000	2.42723e+07
107000000	2.43485e+07
108000000	2.44239e+07
109000000	2.44987e+07
110000000	2.45728e+07
111000000	2.46462e+07
112000000	2.47189e+07
113000000	2.47911e+07
114000000	2.48626e+07
115000000	2.49334e+07
116000000	2.50037e+07
117000000	2.50733e+07
118000000	2.51424e+07
119000000	2.52108e+07
120000000	2.52787e+07
121000000	2.53461e+07
122000000	2.54129e+07
123000000	2.54791e+07
124000000	2.55448e+07
125000000	2.561e+07
126000000	2.56746e+07
127000000	2.57387e+07
128000000	2.58024e+07
129000000	2.58655e+07
130000000	2.59281e+07
131000000	2.59903e+07
132000000	2.6052e+07
133000000	2.61132e+07
134000000	2.61739e+07
135000000	2.62342e+07
136000000	2.6294e+07
137000000	2.63534e+07
138000000	2.64124e+07
139000000	2.64709e+07
140000000	2.6529e+07
141000000	2.65867e+07
142000000	2.6644e+07
143000000	2.67009e+07
144000000	2.67573e+07
145000000	2.68134e+07
146000000	2.68691e+07
147000000	2.69244e+07
148000000	2.69793e+07
149000000	2.70338e+07
150000000	2.7088e+07
151000000	2.71418e+07
152000000	2.71953e+07
153000000	2.72483e+07
