total_reads	distinct_reads
0	0
1000000	990911
2000000	1.96939e+06
3000000	2.93748e+06
4000000	3.8961e+06
5000000	4.84569e+06
6000000	5.78669e+06
7000000	6.71941e+06
8000000	7.64406e+06
9000000	8.56093e+06
10000000	9.4702e+06
11000000	1.0372e+07
12000000	1.12665e+07
13000000	1.21539e+07
14000000	1.30343e+07
15000000	1.39078e+07
16000000	1.47746e+07
17000000	1.56346e+07
18000000	1.64882e+07
19000000	1.73352e+07
20000000	1.8176e+07
21000000	1.90105e+07
22000000	1.98388e+07
23000000	2.0661e+07
24000000	2.14772e+07
25000000	2.22876e+07
26000000	2.30921e+07
27000000	2.38908e+07
28000000	2.46838e+07
29000000	2.54712e+07
30000000	2.62531e+07
31000000	2.70295e+07
32000000	2.78004e+07
33000000	2.85661e+07
34000000	2.93264e+07
35000000	3.00815e+07
36000000	3.08315e+07
37000000	3.15763e+07
38000000	3.23162e+07
39000000	3.3051e+07
40000000	3.37809e+07
41000000	3.45059e+07
42000000	3.52261e+07
43000000	3.59416e+07
44000000	3.66523e+07
45000000	3.73584e+07
46000000	3.80598e+07
47000000	3.87567e+07
48000000	3.94491e+07
49000000	4.0137e+07
50000000	4.08204e+07
51000000	4.14995e+07
52000000	4.21743e+07
53000000	4.28448e+07
54000000	4.3511e+07
55000000	4.41731e+07
56000000	4.4831e+07
57000000	4.54847e+07
58000000	4.61344e+07
59000000	4.67801e+07
60000000	4.74217e+07
61000000	4.80594e+07
62000000	4.86932e+07
63000000	4.93232e+07
64000000	4.99492e+07
65000000	5.05715e+07
66000000	5.119e+07
67000000	5.18048e+07
68000000	5.24159e+07
69000000	5.30233e+07
70000000	5.36271e+07
71000000	5.42273e+07
72000000	5.4824e+07
73000000	5.54171e+07
74000000	5.60067e+07
75000000	5.65929e+07
76000000	5.71756e+07
77000000	5.7755e+07
78000000	5.8331e+07
79000000	5.89036e+07
80000000	5.9473e+07
81000000	6.0039e+07
82000000	6.06019e+07
83000000	6.11615e+07
84000000	6.17179e+07
85000000	6.22712e+07
86000000	6.28213e+07
87000000	6.33683e+07
88000000	6.39123e+07
89000000	6.44532e+07
90000000	6.49911e+07
91000000	6.5526e+07
92000000	6.60579e+07
93000000	6.65868e+07
94000000	6.71129e+07
95000000	6.7636e+07
96000000	6.81563e+07
97000000	6.86738e+07
98000000	6.91884e+07
99000000	6.97002e+07
100000000	7.02092e+07
101000000	7.07155e+07
102000000	7.12191e+07
103000000	7.17199e+07
104000000	7.22181e+07
105000000	7.27136e+07
106000000	7.32065e+07
107000000	7.36968e+07
108000000	7.41844e+07
109000000	7.46695e+07
110000000	7.51521e+07
111000000	7.56321e+07
112000000	7.61096e+07
113000000	7.65846e+07
114000000	7.70571e+07
115000000	7.75272e+07
116000000	7.79949e+07
117000000	7.84601e+07
118000000	7.89229e+07
119000000	7.93834e+07
120000000	7.98415e+07
121000000	8.02973e+07
122000000	8.07507e+07
123000000	8.12019e+07
124000000	8.16508e+07
125000000	8.20974e+07
126000000	8.25418e+07
