Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723105726-5280-R02-C02	64	26305	411.016	2.509	255	255	104808.984
20180723105726-5281-R02-C02	53	24943	470.623	2.379	255	255	120008.774
20180723105726-5282-R02-C02	48	22318	464.958	2.128	255	255	118564.375
20180723105726-5283-R02-C02	54	23897	442.537	2.279	255	255	112846.944
20180723105726-5284-R02-C02	42	17207	409.690	1.641	255	255	104471.071
20180723105726-5285-R02-C02	46	19552	425.043	1.865	255	255	108386.087
20180723105726-5286-R02-C02	44	23481	533.659	2.239	255	255	136083.068
20180723105726-5287-R02-C02	54	25890	479.444	2.469	255	255	122258.333
20180723105726-5288-R02-C02	73	35417	485.164	3.378	255	255	123716.918
20180723164442-000-R02-C02	67	33586	501.284	3.203	255	255	127827.313
20180723164442-001-R02-C02	60	28919	481.983	2.758	255	255	122905.750
20180723164442-002-R02-C02	50	23972	479.440	2.286	255	255	122257.200
20180723164442-003-R02-C02	57	28393	498.123	2.708	255	255	127021.316
20180723164442-004-R02-C02	41	18468	450.439	1.761	255	255	114861.951
20180723164442-005-R02-C02	48	23527	490.146	2.244	255	255	124987.188
20180723164442-006-R02-C02	58	29312	505.379	2.795	255	255	128871.724
20180723164442-007-R02-C02	51	24153	473.588	2.303	255	255	120765.000
20180723164442-008-R02-C02	84	41779	497.369	3.984	255	255	126829.107
20180724110416-5280-R02-C02	68	26623	391.515	2.539	255	255	99836.250
20180724110416-5281-R02-C02	85	32400	381.176	3.090	255	255	97200.000
20180724110416-5282-R02-C02	58	25213	434.707	2.404	255	255	110850.259
20180724110416-5283-R02-C02	73	30056	411.726	2.866	255	255	104990.137
20180724110416-5284-R02-C02	56	23636	422.071	2.254	255	255	107628.214
20180724110416-5285-R02-C02	56	22953	409.875	2.189	255	255	104518.125
20180724110416-5286-R02-C02	67	30878	460.866	2.945	255	255	117520.746
20180724110416-5287-R02-C02	83	35445	427.048	3.380	255	255	108897.289
20180724110416-5288-R02-C02	101	46752	462.891	4.459	255	255	118037.228
20180724164631-11280-R02-C02	83	34606	416.940	3.300	255	255	106319.639
20180724164631-11281-R02-C02	95	40863	430.137	3.897	255	255	109684.895
20180724164631-11282-R02-C02	60	25459	424.317	2.428	255	255	108200.750
20180724164631-11283-R02-C02	79	35791	453.051	3.413	255	255	115527.911
20180724164631-11284-R02-C02	55	24248	440.873	2.312	255	255	112422.545
20180724164631-11285-R02-C02	61	26611	436.246	2.538	255	255	111242.705
20180724164631-11286-R02-C02	72	34839	483.875	3.323	255	255	123388.125
20180724164631-11287-R02-C02	88	37601	427.284	3.586	255	255	108957.443
20180724164631-11288-R02-C02	110	48720	442.909	4.646	255	255	112941.818
20180725091930-1500-R02-C02	83	37047	446.349	3.533	255	255	113819.096
20180725091930-1501-R02-C02	82	35923	438.085	3.426	255	255	111711.768
20180725091930-1502-R02-C02	57	26290	461.228	2.507	255	255	117613.158
20180725091930-1503-R02-C02	78	35554	455.821	3.391	255	255	116234.231
20180725091930-1504-R02-C02	50	22134	442.680	2.111	255	255	112883.400
20180725091930-1505-R02-C02	63	25511	404.937	2.433	255	255	103258.810
20180725091930-1506-R02-C02	67	31774	474.239	3.030	255	255	120930.896
20180725091930-1507-R02-C02	94	41222	438.532	3.931	255	255	111825.638
20180725091930-1508-R02-C02	106	47167	444.972	4.498	255	255	113467.783
20180725161632-11280-R02-C02	75	34409	458.787	3.281	255	255	116990.600
20180725161632-11281-R02-C02	79	34335	434.620	3.274	255	255	110828.165
20180725161632-11282-R02-C02	59	27766	470.610	2.648	255	255	120005.593
20180725161632-11283-R02-C02	82	40441	493.183	3.857	255	255	125761.646
20180725161632-11284-R02-C02	44	19821	450.477	1.890	255	255	114871.705
20180725161632-11285-R02-C02	48	22292	464.417	2.126	255	255	118426.250
20180725161632-11286-R02-C02	65	31081	478.169	2.964	255	255	121933.154
20180725161632-11287-R02-C02	93	42798	460.194	4.082	255	255	117349.355
20180725161632-11288-R02-C02	118	52037	440.992	4.963	255	255	112452.839
20180726091935-1500-R02-C02	79	34056	431.089	3.248	255	255	109927.595
20180726091935-1501-R02-C02	92	41552	451.652	3.963	255	255	115171.304
20180726091935-1502-R02-C02	53	25363	478.547	2.419	255	255	122029.528
20180726091935-1503-R02-C02	79	37819	478.722	3.607	255	255	122073.987
20180726091935-1504-R02-C02	56	24706	441.179	2.356	255	255	112500.536
20180726091935-1505-R02-C02	57	26132	458.456	2.492	255	255	116906.316
20180726091935-1506-R02-C02	78	35977	461.244	3.431	255	255	117617.115
20180726091935-1507-R02-C02	99	44488	449.374	4.243	255	255	114590.303
20180726091935-1508-R02-C02	108	48186	446.167	4.595	255	255	113772.500
20180726101900-7500-R02-C02	56	24018	428.893	2.291	255	255	109367.679
20180726101900-7501-R02-C02	41	18042	440.049	1.721	255	255	112212.439
20180726101900-7502-R02-C02	8	3963	495.375	0.378	255	255	126320.625
20180726101900-7503-R02-C02	63	29127	462.333	2.778	255	255	117895.000
20180726101900-7504-R02-C02	45	19528	433.956	1.862	255	255	110658.667
20180726101900-7505-R02-C02	47	18482	393.234	1.763	255	255	100274.681
20180726101900-7506-R02-C02	62	31702	511.323	3.023	255	255	130387.258
20180726101900-7507-R02-C02	84	40058	476.881	3.820	255	255	121604.643
20180726101900-7508-R02-C02	56	27894	498.107	2.660	255	255	127017.321
20180726172421-4200-R02-C02	58	30308	522.552	2.890	255	255	133250.690
20180726172421-4201-R02-C02	50	20729	414.580	1.977	255	255	105717.900
20180726172421-4202-R02-C02	12	4360	363.333	0.416	255	255	92650.000
20180726172421-4203-R02-C02	72	33802	469.472	3.224	255	255	119715.417
20180726172421-4204-R02-C02	49	23090	471.224	2.202	255	255	120162.245
20180726172421-4205-R02-C02	53	24349	459.415	2.322	255	255	117150.849
20180726172421-4206-R02-C02	76	37750	496.711	3.600	255	255	126661.184
20180726172421-4207-R02-C02	112	49788	444.536	4.748	255	255	113356.607
20180726172421-4208-R02-C02	84	40564	482.905	3.868	255	255	123140.714
20180727120240-13980-R02-C02	52	25622	492.731	2.444	255	255	125646.346
20180727120240-13981-R02-C02	45	19894	442.089	1.897	255	255	112732.667
20180727120240-13982-R02-C02	9	4366	485.111	0.416	255	255	123703.333
20180727120240-13983-R02-C02	52	23306	448.192	2.223	255	255	114289.038
20180727120240-13984-R02-C02	41	20487	499.683	1.954	255	255	127419.146
20180727120240-13985-R02-C02	44	22759	517.250	2.170	255	255	131898.750
20180727120240-13986-R02-C02	68	33498	492.618	3.195	255	255	125617.500
20180727120240-13987-R02-C02	95	44936	473.011	4.285	255	255	120617.684
20180727120240-13988-R02-C02	82	39561	482.451	3.773	255	255	123025.061
20180727171831-4200-R02-C02	67	30368	453.254	2.896	255	255	115579.701
20180727171831-4201-R02-C02	43	19161	445.605	1.827	255	255	113629.186
20180727171831-4202-R02-C02	14	5551	396.500	0.529	255	255	101107.500
20180727171831-4203-R02-C02	63	27092	430.032	2.584	255	255	109658.095
20180727171831-4204-R02-C02	44	18762	426.409	1.789	255	255	108734.318
20180727171831-4205-R02-C02	43	21062	489.814	2.009	255	255	124902.558
20180727171831-4206-R02-C02	58	31847	549.086	3.037	255	255	140016.983
20180727171831-4207-R02-C02	97	50920	524.948	4.856	255	255	133861.856
