Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723113406-8280-R02-C02	26	11995	461.346	1.144	255	255	117643.269
20180723113406-8281-R02-C02	50	29458	589.160	2.809	255	255	150235.800
20180723113406-8282-R02-C02	44	21396	486.273	2.040	255	255	123999.545
20180723113406-8283-R02-C02	36	13271	368.639	1.266	255	255	94002.917
20180723113406-8284-R02-C02	20	9407	470.350	0.897	255	255	119939.250
20180723113406-8285-R02-C02	22	11865	539.318	1.132	255	255	137526.136
20180723113406-8286-R02-C02	25	14208	568.320	1.355	255	255	144921.600
20180723113406-8287-R02-C02	24	11118	463.250	1.060	255	255	118128.750
20180723113406-8288-R02-C02	26	15311	588.885	1.460	255	255	150165.577
20180723172229-3000-R02-C02	24	8837	368.208	0.843	255	255	93893.125
20180723172229-3001-R02-C02	72	30692	426.278	2.927	255	255	108700.833
20180723172229-3002-R02-C02	56	18499	330.339	1.764	255	255	84236.518
20180723172229-3003-R02-C02	33	10092	305.818	0.962	255	255	77983.636
20180723172229-3004-R02-C02	29	8886	306.414	0.847	255	255	78135.517
20180723172229-3005-R02-C02	29	10056	346.759	0.959	255	255	88423.448
20180723172229-3006-R02-C02	38	14146	372.263	1.349	255	255	94927.105
20180723172229-3007-R02-C02	38	13998	368.368	1.335	255	255	93933.947
20180723172229-3008-R02-C02	53	23865	450.283	2.276	255	255	114822.170
20180724113833-8280-R02-C02	23	6946	302.000	0.662	255	255	77010.000
20180724113833-8281-R02-C02	57	21736	381.333	2.073	255	255	97240.000
20180724113833-8282-R02-C02	37	9541	257.865	0.910	255	255	65755.541
20180724113833-8283-R02-C02	23	6243	271.435	0.595	255	255	69215.870
20180724113833-8284-R02-C02	17	4734	278.471	0.451	255	255	71010.000
20180724113833-8285-R02-C02	22	5732	260.545	0.547	255	255	66439.091
20180724113833-8286-R02-C02	18	8025	445.833	0.765	255	255	113687.500
20180724113833-8287-R02-C02	26	7773	298.962	0.741	255	255	76235.192
20180724113833-8288-R02-C02	42	16033	381.738	1.529	255	255	97343.214
20180724171552-14280-R02-C02	22	7061	320.955	0.673	255	255	81843.409
20180724171552-14281-R02-C02	46	17550	381.522	1.674	255	255	97288.043
20180724171552-14282-R02-C02	31	9458	305.097	0.902	255	255	77799.677
20180724171552-14283-R02-C02	21	6797	323.667	0.648	255	255	82535.000
20180724171552-14284-R02-C02	12	3801	316.750	0.362	255	255	80771.250
20180724171552-14285-R02-C02	16	3707	231.688	0.354	255	255	59080.312
20180724171552-14286-R02-C02	16	6888	430.500	0.657	255	255	109777.500
20180724171552-14287-R02-C02	25	6908	276.320	0.659	255	255	70461.600
20180724171552-14288-R02-C02	40	14151	353.775	1.350	255	255	90212.625
20180725094541-4500-R02-C02	18	6185	343.611	0.590	255	255	87620.833
20180725094541-4501-R02-C02	36	13256	368.222	1.264	255	255	93896.667
20180725094541-4502-R02-C02	21	7747	368.905	0.739	255	255	94070.714
20180725094541-4503-R02-C02	12	5041	420.083	0.481	255	255	107121.250
20180725094541-4504-R02-C02	9	3558	395.333	0.339	255	255	100810.000
20180725094541-4505-R02-C02	16	2989	186.812	0.285	255	255	47637.188
20180725094541-4506-R02-C02	13	6970	536.154	0.665	255	255	136719.231
20180725094541-4507-R02-C02	14	4663	333.071	0.445	255	255	84933.214
20180725094541-4508-R02-C02	26	9464	364.000	0.903	255	255	92820.000
20180725164220-14280-R02-C02	13	4624	355.692	0.441	255	255	90701.538
20180725164220-14281-R02-C02	39	15439	395.872	1.472	255	255	100947.308
20180725164220-14282-R02-C02	21	7301	347.667	0.696	255	255	88655.000
20180725164220-14283-R02-C02	13	5918	455.231	0.564	255	255	116083.846
20180725164220-14284-R02-C02	12	4462	371.833	0.426	255	255	94817.500
20180725164220-14285-R02-C02	8	2101	262.625	0.200	255	255	66969.375
