Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723104230-3780-R02-C02	36	20224	561.778	1.929	255	255	143253.333
20180723104230-3781-R02-C02	22	12228	555.818	1.166	255	255	141733.636
20180723104230-3782-R02-C02	51	26938	528.196	2.569	255	255	134690.000
20180723104230-3783-R02-C02	47	28055	596.915	2.676	255	255	152213.298
20180723104230-3784-R02-C02	47	26248	558.468	2.503	255	255	142409.362
20180723104230-3785-R02-C02	29	15225	525.000	1.452	255	255	133875.000
20180723104230-3786-R02-C02	40	23468	586.700	2.238	255	255	149608.500
20180723104230-3787-R02-C02	38	20485	539.079	1.954	255	255	137465.132
20180723104230-3788-R02-C02	38	19644	516.947	1.873	255	255	131821.579
20180723162902-11235-R02-C02	42	21446	510.619	2.045	255	255	130207.857
20180723162902-11236-R02-C02	25	14009	560.360	1.336	255	255	142891.800
20180723162902-11237-R02-C02	54	28401	525.944	2.709	255	255	134115.833
20180723162902-11238-R02-C02	53	27960	527.547	2.666	255	255	134524.528
20180723162902-11239-R02-C02	52	27358	526.115	2.609	255	255	134159.423
20180723162902-11240-R02-C02	32	17589	549.656	1.677	255	255	140162.344
20180723162902-11241-R02-C02	49	28290	577.347	2.698	255	255	147223.469
20180723162902-11242-R02-C02	43	23088	536.930	2.202	255	255	136917.209
20180723162902-11243-R02-C02	38	19511	513.447	1.861	255	255	130929.079
20180724092856-000-R02-C02	56	24346	434.750	2.322	255	255	110861.250
20180724092856-001-R02-C02	37	17738	479.405	1.692	255	255	122248.378
20180724092856-002-R02-C02	79	32039	405.557	3.055	255	255	103417.025
20180724092856-003-R02-C02	77	29277	380.221	2.792	255	255	96956.299
20180724092856-004-R02-C02	65	27673	425.738	2.639	255	255	108563.308
20180724092856-005-R02-C02	48	18594	387.375	1.773	255	255	98780.625
20180724092856-006-R02-C02	68	29999	441.162	2.861	255	255	112496.250
20180724092856-007-R02-C02	55	23919	434.891	2.281	255	255	110897.182
20180724092856-008-R02-C02	49	20670	421.837	1.971	255	255	107568.367
20180724163050-9780-R02-C02	58	25010	431.207	2.385	255	255	109957.759
20180724163050-9781-R02-C02	39	18397	471.718	1.754	255	255	120288.077
20180724163050-9782-R02-C02	84	33788	402.238	3.222	255	255	102570.714
20180724163050-9783-R02-C02	70	28712	410.171	2.738	255	255	104593.714
20180724163050-9784-R02-C02	66	31575	478.409	3.011	255	255	121994.318
20180724163050-9785-R02-C02	41	16370	399.268	1.561	255	255	101813.415
20180724163050-9786-R02-C02	70	29697	424.243	2.832	255	255	108181.929
