Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723111937-6780-R02-C02	21	13050	621.429	1.245	255	255	158464.286
20180723111937-6781-R02-C02	55	31501	572.745	3.004	255	255	146050.091
20180723111937-6782-R02-C02	59	32077	543.678	3.059	255	255	138637.881
20180723111937-6783-R02-C02	37	22089	597.000	2.107	255	255	152235.000
20180723111937-6784-R02-C02	21	12583	599.190	1.200	255	255	152793.571
20180723111937-6785-R02-C02	36	20688	574.667	1.973	255	255	146540.000
20180723111937-6786-R02-C02	31	17665	569.839	1.685	255	255	145308.871
20180723111937-6787-R02-C02	18	10542	585.667	1.005	255	255	149345.000
20180723111937-6788-R02-C02	44	25187	572.432	2.402	255	255	145970.114
20180723170240-1500-R02-C02	21	8409	400.429	0.802	255	255	102109.286
20180723170240-1501-R02-C02	54	24482	453.370	2.335	255	255	115609.444
20180723170240-1502-R02-C02	59	25083	425.136	2.392	255	255	108409.576
20180723170240-1503-R02-C02	38	17592	462.947	1.678	255	255	118051.579
20180723170240-1504-R02-C02	28	11392	406.857	1.086	255	255	103748.571
20180723170240-1505-R02-C02	32	15815	494.219	1.508	255	255	126025.781
20180723170240-1506-R02-C02	32	15593	487.281	1.487	255	255	124256.719
20180723170240-1507-R02-C02	19	8554	450.211	0.816	255	255	114803.684
20180723170240-1508-R02-C02	46	22978	499.522	2.191	255	255	127378.043
20180724111727-6780-R02-C02	18	7315	406.389	0.698	255	255	103629.167
20180724111727-6781-R02-C02	51	21405	419.706	2.041	255	255	107025.000
20180724111727-6782-R02-C02	53	19750	372.642	1.884	255	255	95023.585
20180724111727-6783-R02-C02	32	12131	379.094	1.157	255	255	96668.906
20180724111727-6784-R02-C02	25	8664	346.560	0.826	255	255	88372.800
20180724111727-6785-R02-C02	30	13298	443.267	1.268	255	255	113033.000
20180724111727-6786-R02-C02	22	11449	520.409	1.092	255	255	132704.318
20180724111727-6787-R02-C02	15	7399	493.267	0.706	255	255	125783.000
20180724111727-6788-R02-C02	41	21085	514.268	2.011	255	255	131138.415
20180724170127-12780-R02-C02	18	7761	431.167	0.740	255	255	109947.500
20180724170127-12781-R02-C02	46	21441	466.109	2.045	255	255	118857.717
20180724170127-12782-R02-C02	49	18815	383.980	1.794	255	255	97914.796
20180724170127-12783-R02-C02	27	11142	412.667	1.063	255	255	105230.000
20180724170127-12784-R02-C02	22	7767	353.045	0.741	255	255	90026.591
20180724170127-12785-R02-C02	32	14410	450.312	1.374	255	255	114829.688
20180724170127-12786-R02-C02	21	10474	498.762	0.999	255	255	127184.286
20180724170127-12787-R02-C02	15	7586	505.733	0.723	255	255	128962.000
20180724170127-12788-R02-C02	35	16870	482.000	1.609	255	255	122910.000
20180725093217-3000-R02-C02	17	7596	446.824	0.724	255	255	113940.000
20180725093217-3001-R02-C02	39	18512	474.667	1.765	255	255	121040.000
20180725093217-3002-R02-C02	36	15067	418.528	1.437	255	255	106724.583
20180725093217-3003-R02-C02	24	9238	384.917	0.881	255	255	98153.750
20180725093217-3004-R02-C02	21	6686	318.381	0.638	255	255	81187.143
20180725093217-3005-R02-C02	25	9867	394.680	0.941	255	255	100643.400
20180725093217-3006-R02-C02	18	7638	424.333	0.728	255	255	108205.000
20180725093217-3007-R02-C02	15	5899	393.267	0.563	255	255	100283.000
20180725093217-3008-R02-C02	28	13626	486.643	1.299	255	255	124093.929
20180725162820-12780-R02-C02	14	6168	440.571	0.588	255	255	112345.714
20180725162820-12781-R02-C02	38	18332	482.421	1.748	255	255	123017.368
20180725162820-12782-R02-C02	36	15906	441.833	1.517	255	255	112667.500
20180725162820-12783-R02-C02	22	8097	368.045	0.772	255	255	93851.591
20180725162820-12784-R02-C02	14	5807	414.786	0.554	255	255	105770.357
20180725162820-12785-R02-C02	25	11646	465.840	1.111	255	255	118789.200
20180725162820-12786-R02-C02	17	8444	496.706	0.805	255	255	126660.000
20180725162820-12787-R02-C02	11	5907	537.000	0.563	255	255	136935.000
20180725162820-12788-R02-C02	26	12762	490.846	1.217	255	255	125165.769
20180726093120-3000-R02-C02	12	5676	473.000	0.541	255	255	120615.000
20180726093120-3001-R02-C02	33	13206	400.182	1.259	255	255	102046.364
20180726093120-3002-R02-C02	35	13759	393.114	1.312	255	255	100244.143
20180726093120-3003-R02-C02	21	6928	329.905	0.661	255	255	84125.714
20180726093120-3004-R02-C02	10	3215	321.500	0.307	255	255	81982.500
20180726093120-3005-R02-C02	22	8090	367.727	0.772	255	255	93770.455
20180726093120-3006-R02-C02	21	10092	480.571	0.962	255	255	122545.714
20180726093120-3007-R02-C02	14	5473	390.929	0.522	255	255	99686.786
20180726093120-3008-R02-C02	25	11709	468.360	1.117	255	255	119431.800
20180726103846-9000-R02-C02	1	549	549.000	0.052	255	255	139995.000
20180726103846-9001-R02-C02	3	1122	374.000	0.107	255	255	95370.000
20180726103846-9002-R02-C02	1	427	427.000	0.041	255	255	108885.000
20180726103846-9003-R02-C02	0	0	NaN	0.000	NaN	NaN	NaN
20180726103846-9004-R02-C02	3	762	254.000	0.073	255	255	64770.000
20180726103846-9005-R02-C02	1	438	438.000	0.042	255	255	111690.000
20180726103846-9006-R02-C02	3	1165	388.333	0.111	255	255	99025.000
20180726103846-9007-R02-C02	3	706	235.333	0.067	255	255	60010.000
20180726103846-9008-R02-C02	3	1535	511.667	0.146	255	255	130475.000
20180726173820-5700-R02-C02	16	5515	344.688	0.526	255	255	87895.312
20180726173820-5701-R02-C02	13	4985	383.462	0.475	255	255	97782.692
20180726173820-5702-R02-C02	13	4381	337.000	0.418	255	255	85935.000
20180726173820-5703-R02-C02	6	1709	284.833	0.163	255	255	72632.500
20180726173820-5704-R02-C02	16	5236	327.250	0.499	255	255	83448.750
20180726173820-5705-R02-C02	7	2567	366.714	0.245	255	255	93512.143
20180726173820-5706-R02-C02	6	2249	374.833	0.214	255	255	95582.500
20180726173820-5707-R02-C02	14	4556	325.429	0.434	255	255	82984.286
20180726173820-5708-R02-C02	10	3350	335.000	0.319	255	255	85425.000
20180727121521-15480-R02-C02	9	2976	330.667	0.284	255	255	84320.000
