well	cell.line	drug1	drug1.conc	drug1.units	drug2	drug2.conc	drug2.units
A01	SKMEL5	PLX4720		M	CPA-noCa2+		M
A02	SKMEL5	PLX4720		M	CPA-noCa2+		M
A03	SKMEL5	PLX4720		M	CPA-noCa2+		M
A04	SKMEL5	PLX4720		M	CPA-noCa2+		M
A05	SKMEL5	PLX4720		M	CPA-noCa2+		M
A06	SKMEL5	PLX4720		M	CPA-noCa2+		M
A07	SKMEL5	PLX4720		M	CPA-noCa2+		M
A08	SKMEL5	PLX4720		M	CPA-noCa2+		M
A09	SKMEL28	PLX4720		M	CPA-noCa2+		M
A10	SKMEL28	PLX4720		M	CPA-noCa2+		M
A11	SKMEL28	PLX4720		M	CPA-noCa2+		M
A12	SKMEL28	PLX4720		M	CPA-noCa2+		M
A13	SKMEL28	PLX4720		M	CPA-noCa2+		M
A14	SKMEL28	PLX4720		M	CPA-noCa2+		M
A15	SKMEL28	PLX4720		M	CPA-noCa2+		M
A16	SKMEL28	PLX4720		M	CPA-noCa2+		M
A17	A2058	PLX4720		M	CPA-noCa2+		M
A18	A2058	PLX4720		M	CPA-noCa2+		M
A19	A2058	PLX4720		M	CPA-noCa2+		M
A20	A2058	PLX4720		M	CPA-noCa2+		M
A21	A2058	PLX4720		M	CPA-noCa2+		M
A22	A2058	PLX4720		M	CPA-noCa2+		M
A23	A2058	PLX4720		M	CPA-noCa2+		M
A24	A2058	PLX4720		M	CPA-noCa2+		M
B01	SKMEL5	PLX4720		M	CPA-Ca2+		M
B02	SKMEL5	PLX4720		M	CPA-Ca2+		M
B03	SKMEL5	PLX4720		M	CPA-Ca2+		M
B04	SKMEL5	PLX4720		M	CPA-Ca2+		M
B05	SKMEL5	PLX4720		M	CPA-Ca2+		M
B06	SKMEL5	PLX4720		M	CPA-Ca2+		M
B07	SKMEL5	PLX4720		M	CPA-Ca2+		M
B08	SKMEL5	PLX4720		M	CPA-Ca2+		M
B09	SKMEL28	PLX4720		M	CPA-Ca2+		M
B10	SKMEL28	PLX4720		M	CPA-Ca2+		M
B11	SKMEL28	PLX4720		M	CPA-Ca2+		M
B12	SKMEL28	PLX4720		M	CPA-Ca2+		M
B13	SKMEL28	PLX4720		M	CPA-Ca2+		M
B14	SKMEL28	PLX4720		M	CPA-Ca2+		M
B15	SKMEL28	PLX4720		M	CPA-Ca2+		M
B16	SKMEL28	PLX4720		M	CPA-Ca2+		M
B17	A2058	PLX4720		M	CPA-Ca2+		M
B18	A2058	PLX4720		M	CPA-Ca2+		M
B19	A2058	PLX4720		M	CPA-Ca2+		M
B20	A2058	PLX4720		M	CPA-Ca2+		M
B21	A2058	PLX4720		M	CPA-Ca2+		M
B22	A2058	PLX4720		M	CPA-Ca2+		M
B23	A2058	PLX4720		M	CPA-Ca2+		M
B24	A2058	PLX4720		M	CPA-Ca2+		M
C01	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C02	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C03	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C04	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C05	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C06	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C07	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C08	SKMEL5	PLX4720		M	CPA-Ca2+KCl		M
C09	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C10	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C11	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C12	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C13	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C14	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C15	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C16	SKMEL28	PLX4720		M	CPA-Ca2+KCl		M
C17	A2058	PLX4720		M	CPA-Ca2+KCl		M
C18	A2058	PLX4720		M	CPA-Ca2+KCl		M
C19	A2058	PLX4720		M	CPA-Ca2+KCl		M
C20	A2058	PLX4720		M	CPA-Ca2+KCl		M
C21	A2058	PLX4720		M	CPA-Ca2+KCl		M
C22	A2058	PLX4720		M	CPA-Ca2+KCl		M
C23	A2058	PLX4720		M	CPA-Ca2+KCl		M
C24	A2058	PLX4720		M	CPA-Ca2+KCl		M
D01	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D02	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D03	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D04	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D05	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D06	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D07	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D08	SKMEL5	PLX4720		M	CPA-Ca2+both		M
D09	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D10	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D11	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D12	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D13	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D14	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D15	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D16	SKMEL28	PLX4720		M	CPA-Ca2+both		M
D17	A2058	PLX4720		M	CPA-Ca2+both		M
D18	A2058	PLX4720		M	CPA-Ca2+both		M
D19	A2058	PLX4720		M	CPA-Ca2+both		M
D20	A2058	PLX4720		M	CPA-Ca2+both		M
D21	A2058	PLX4720		M	CPA-Ca2+both		M
D22	A2058	PLX4720		M	CPA-Ca2+both		M
D23	A2058	PLX4720		M	CPA-Ca2+both		M
D24	A2058	PLX4720		M	CPA-Ca2+both		M
E01	SKMEL5	PLX4720		M	VEH		M
E02	SKMEL5	PLX4720		M	VEH		M
E03	SKMEL5	PLX4720		M	VEH		M
E04	SKMEL5	PLX4720		M	VEH		M
E05	SKMEL5	PLX4720		M	VEH		M
E06	SKMEL5	PLX4720		M	VEH		M
E07	SKMEL5	PLX4720		M	VEH		M
E08	SKMEL5	PLX4720		M	VEH		M
E09	SKMEL28	PLX4720		M	VEH		M
E10	SKMEL28	PLX4720		M	VEH		M
E11	SKMEL28	PLX4720		M	VEH		M
E12	SKMEL28	PLX4720		M	VEH		M
E13	SKMEL28	PLX4720		M	VEH		M
E14	SKMEL28	PLX4720		M	VEH		M
E15	SKMEL28	PLX4720		M	VEH		M
E16	SKMEL28	PLX4720		M	VEH		M
E17	A2058	PLX4720		M	VEH		M
E18	A2058	PLX4720		M	VEH		M
E19	A2058	PLX4720		M	VEH		M
E20	A2058	PLX4720		M	VEH		M
E21	A2058	PLX4720		M	VEH		M
E22	A2058	PLX4720		M	VEH		M
E23	A2058	PLX4720		M	VEH		M
E24	A2058	PLX4720		M	VEH		M
F01	SKMEL5	PLX4720		M	VEH		M
F02	SKMEL5	PLX4720		M	VEH		M
F03	SKMEL5	PLX4720		M	VEH		M
F04	SKMEL5	PLX4720		M	VEH		M
F05	SKMEL5	PLX4720		M	VEH		M
F06	SKMEL5	PLX4720		M	VEH		M
F07	SKMEL5	PLX4720		M	VEH		M
F08	SKMEL5	PLX4720		M	VEH		M
F09	SKMEL28	PLX4720		M	VEH		M
F10	SKMEL28	PLX4720		M	VEH		M
F11	SKMEL28	PLX4720		M	VEH		M
