KEGGID	GeneName	GeneDesc
6520	SLC3A2	 solute carrier family 3 member 2 [KO:K06519]
23657	SLC7A11	 solute carrier family 7 member 11 [KO:K13869]
2729	GCLC	 glutamate-cysteine ligase catalytic subunit [KO:K11204] [EC:6.3.2.2]
2730	GCLM	 glutamate-cysteine ligase modifier subunit [KO:K11205]
2937	GSS	 glutathione synthetase [KO:K21456] [EC:6.3.2.3]
2879	GPX4	 glutathione peroxidase 4 [KO:K05361] [EC:1.11.1.12]
246	ALOX15	 arachidonate 15-lipoxygenase [KO:K00460] [EC:1.13.11.33]
10162	LPCAT3	 lysophosphatidylcholine acyltransferase 3 [KO:K13515] [EC:2.3.1.- 2.3.1.23]
23305	ACSL6	 acyl-CoA synthetase long chain family member 6 [KO:K01897] [EC:6.2.1.3]
2182	ACSL4	 acyl-CoA synthetase long chain family member 4 [KO:K01897] [EC:6.2.1.3]
2180	ACSL1	 acyl-CoA synthetase long chain family member 1 [KO:K01897] [EC:6.2.1.3]
51703	ACSL5	 acyl-CoA synthetase long chain family member 5 [KO:K01897] [EC:6.2.1.3]
2181	ACSL3	 acyl-CoA synthetase long chain family member 3 [KO:K01897] [EC:6.2.1.3]
7157	TP53	 tumor protein p53 [KO:K04451]
112483	SAT2	 spermidine/spermine N1-acetyltransferase family member 2 [KO:K00657] [EC:2.3.1.57]
6303	SAT1	 spermidine/spermine N1-acetyltransferase 1 [KO:K00657] [EC:2.3.1.57]
7018	TF	 transferrin [KO:K14736]
7037	TFRC	 transferrin receptor [KO:K06503]
55240	STEAP3	 STEAP3 metalloreductase [KO:K10142] [EC:1.16.1.-]
4891	SLC11A2	 solute carrier family 11 member 2 [KO:K21398]
64116	SLC39A8	 solute carrier family 39 member 8 [KO:K14714]
23516	SLC39A14	 solute carrier family 39 member 14 [KO:K14720]
5094	PCBP2	 poly(rC) binding protein 2 [KO:K13162]
30061	SLC40A1	 solute carrier family 40 member 1 [KO:K14685]
1356	CP	 ceruloplasmin [KO:K13624] [EC:1.16.3.1]
5093	PCBP1	 poly(rC) binding protein 1 [KO:K12889]
2495	FTH1	 ferritin heavy chain 1 [KO:K00522] [EC:1.16.3.2]
2512	FTL	 ferritin light chain [KO:K13625]
440738	MAP1LC3C	 microtubule associated protein 1 light chain 3 gamma [KO:K10435]
81631	MAP1LC3B	 microtubule associated protein 1 light chain 3 beta [KO:K10435]
84557	MAP1LC3A	 microtubule associated protein 1 light chain 3 alpha [KO:K10435]
9474	ATG5	 autophagy related 5 [KO:K08339]
10533	ATG7	 autophagy related 7 [KO:K08337]
8031	NCOA4	 nuclear receptor coactivator 4 [KO:K09289]
5621	PRNP	 prion protein [KO:K05634]
3162	HMOX1	 heme oxygenase 1 [KO:K00510] [EC:1.14.14.18]
7417	VDAC2	 voltage dependent anion channel 2 [KO:K15040]
7419	VDAC3	 voltage dependent anion channel 3 [KO:K15041]
1536	CYBB	 cytochrome b-245 beta chain [KO:K21421] [EC:1.-.-.-]
94033	FTMT	 ferritin mitochondrial [KO:K18495]
